Taxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
HYGROTUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hygrotus,,,Predator,5,"sw, dv",,,1995
HYMENOPTERA,Arthropoda,Insecta,Hymenoptera,,,,,,,,,,1995
IRONOQUIA,Arthropoda,Insecta,Trichoptera,Limnephilidae,Ironoquia,,,Shredder,4,sp,4.9,,1995
ISONYCHIA,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,,,Filterer,2,"sw, cn",2.5,,1995
ISONYCHIIDAE,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,,,,2,,2,,1995
ISOPERLA,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,,,Predator,2,"cn, sp",2.4,,1995
ISOTOMURUS,Arthropoda,Collembola,Collembola,Isotomidae,Isotomurus,,,,,,4.8,,1995
KIEFFERULUS,Arthropoda,Insecta,Diptera,Chironomidae,Kiefferulus,Chironominae,Chironomini,Collector,7,bu,6.6,,1995
KRENOPELOPIA,Arthropoda,Insecta,Diptera,Chironomidae,Krenopelopia,Tanypodinae,Pentaneurini,Predator,7,sp,6.6,,1995
LABRUNDINIA,Arthropoda,Insecta,Diptera,Chironomidae,Labrundinia,Tanypodinae,Pentaneurini,Predator,7,sp,6.6,,1995
LANTHUS,Arthropoda,Insecta,Odonata,Gomphidae,Lanthus,,,Predator,5,bu,1.1,,1995
LARSIA,Arthropoda,Insecta,Diptera,Chironomidae,Larsia,Tanypodinae,Pentaneurini,Predator,7,sp,8.5,,1995
LEPIDOSTOMA,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,,,Shredder,2,"cb, sp, cn",0,,1995
LEPTOPHLEBIA,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,,,Collector,3,"sw, cn, sp",1.8,,1995
LEPTOPHLEBIIDAE,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,,,Collector,3,"sw, cn",1.7,,1995
LEPTOXIS,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,Leptoxis,Mollusca,,Scraper,6,cb,10,,1995
LEUCORRHINIA,Arthropoda,Insecta,Odonata,Libellulidae,Leucorrhinia,,,Predator,9,cb,7,,1995
LEUCOTRICHIA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Leucotrichia,Leucotrichiini,Leucotrichiini,Scraper,4,cn,5,,1995
LEUCROCUTA,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta,,,Scraper,3,cn,1.8,,1995
LEUCTRA,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,,,Shredder,0,cn,0.4,,1995
LEUCTRIDAE,Arthropoda,Insecta,Plecoptera,Leuctridae,,,,Shredder,0,"sp, cn",0.8,,1995
LIBELLULA,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,,,Predator,9,sp,7,,1995
LIBELLULIDAE,Arthropoda,Insecta,Odonata,Libellulidae,,,,Predator,9,,9,,1995
LIMNEPHILIDAE,Arthropoda,Insecta,Trichoptera,Limnephilidae,,,,Shredder,4,"cb, sp, cn",3.4,,1995
LIMNEPHILUS,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilini,Limnephilini,Shredder,4,"cb, sp, cn",3.4,,1995
LIMNODRILUS,Annelida,Oligochaeta,Tubificida,Tubificidae,Limnodrilus,,,Collector,10,cn,8.6,,1995
LIMNOPHILA,Arthropoda,Insecta,Diptera,Tipulidae,Limnophila,,,Predator,4,bu,4.8,,1995
LIMNOPHYES,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Orthocladiinae,,Collector,7,sp,8.6,,1995
LIMONIA,Arthropoda,Insecta,Diptera,Tipulidae,Limonia,,,Shredder,4,"bu, sp",4.8,,1995
LIRCEUS,Arthropoda,Malacostraca,Isopoda,Asellidae,Lirceus,Crustacea,,Collector,8,sp,3.3,,1995
LOPESCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Lopescladius,Orthocladiinae,,Collector,7,sp,6.6,,1995
LUMBRICINA,Annelida,Oligochaeta,Lumbricina,,,,,Collector,10,bu,,,1995
LUMBRICULIDAE,Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,,,,Collector,10,bu,6.6,,1995
LYPE,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Lype,,,Scraper,2,cn,4.7,,1995
MACROMIA,Arthropoda,Insecta,Odonata,Corduliidae,Macromia,,,Predator,3,sp,3,,1995
MACRONYCHUS,Arthropoda,Insecta,Coleoptera,Elmidae,Macronychus,,,Scraper,5,cn,6.8,,1995
MACROPELOPIA,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopia,Tanypodinae,Macropelopiini,Predator,7,sp,6.6,,1995
MENETUS,Mollusca,Gastropoda,Basommatophora,Planorbidae,Menetus,Mollusca,,Scraper,7,cb,7.6,,1995
METRETOPODIDAE,Arthropoda,Insecta,Ephemeroptera,Metretopodidae,,,,,2,,2,,1995
MICRASEMA,Arthropoda,Insecta,Trichoptera,Brachycentridae,Micrasema,,,Shredder,1,"cn, sp",2.3,,1995
MICROPSECTRA,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Chironominae,Tanytarsini,Collector,7,"cb, sp",2.1,,1995
MICROTENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Chironominae,Chironomini,Filterer,7,cn,4.9,,1995
MICROVELIA,Arthropoda,Insecta,Hemiptera,Veliidae,Microvelia,,,Predator,6,sk,6,,1995
MOLLUSCA,Mollusca,0,0,,,,,,,,,,1995
MOLOPHILUS,Arthropoda,Insecta,Diptera,Tipulidae,Molophilus,,,,4,bu,4.8,,1995
MUSCIDAE,Arthropoda,Insecta,Diptera,Muscidae,,,,Predator,7,sp,7,,1995
MYSTACIDES,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,Mystacidini,Mystacidini,Collector,4,"sp, cb",4.1,,1995
NAIDIDAE,Annelida,Oligochaeta,Haplotaxida,Naididae,,,,Collector,10,bu,8.5,,1995
NANOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Nanocladius,Orthocladiinae,,Collector,7,sp,7.6,,1995
NECTOPSYCHE,Arthropoda,Insecta,Trichoptera,Leptoceridae,Nectopsyche,Nectopsychini,Nectopsychini,Shredder,4,"cb, sw",4.1,,1995
NEHALENNIA,Arthropoda,Insecta,Odonata,Coenagrionidae,Nehalennia,,,Predator,8,cb,9,,1995
NEMATOMORPHA,Nematomorpha,Nematomorpha,0,,,,,,,bu,,,1995
NEMOURA,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,,,Shredder,2,"sp, cn",2.9,,1995
