MBSSTaxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
CRAMBUS,Arthropoda,Insecta,Lepidoptera,Pyralidae,Crambus,,,,5,,5,,2001
CRANGONYCTIDAE,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,,Collector,4,sp,6.5,,1995
CRANGONYX,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,Crustacea,,Collector,4,sp,6.7,,1995
CRICOTOPUS,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Orthocladiinae,,Shredder,7,"cn, bu",9.6,,1995
CRICOTOPUS/ORTHOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus/Orthocladius,Orthocladiinae,,Shredder,7,,7.7,,1995
CRYPTOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,Chironominae,Chironomini,Predator,7,"sp, bu",7.6,,1995
CRYPTOLABIS,Arthropoda,Insecta,Diptera,Tipulidae,Cryptolabis,,,,4,bu,4.8,,1995
CRYPTOTENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Cryptotendipes,Chironominae,Chironomini,Collector,7,sp,6.6,,2000
CULEX,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culicini,Culicini,Collector,8,sw,8,,2003
CULICIDAE,Arthropoda,Insecta,Diptera,Culicidae,,,,,8,,8,,2000
CULICOIDES,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,,,Predator,6,bu,5.9,,1995
CULTUS,Arthropoda,Insecta,Plecoptera,Perlodidae,Cultus,Diploperlini,Diploperlini,Predator,2,cn,2.2,,1995
CURA,Platyhelminthes,Turbellaria,Tricladida,Dugesiidae,Cura,,,,6,sp,6.5,,1995
CURCULIONIDAE,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,Shredder,,cn,,,1996
CYBISTER,Arthropoda,Insecta,Coleoptera,Dytiscidae,Cybister,,,Predator,5,"sw, dv",5.4,,1997
CYMBIODYTA,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cymbiodyta,,,Collector,5,bu,4.1,,2001
CYPHON,Arthropoda,Insecta,Coleoptera,Scirtidae,Cyphon,,,Scraper,7,cb,7,,1995
CYRNELLUS,Arthropoda,Insecta,Trichoptera,Polycentropodidae,Cyrnellus,,,Collector,6,cn,7.4,"Added Sept 2010 by MTK, addition",2010
DANNELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Dannella,,,Collector,2,"cn, sp",2,"Added 7 Oct 2008 MTK, addition",2008
DAPHNIA,Arthropoda,Malacostraca,Cladocera,Daphniidae,Daphnia,,,,,,,,1995
DAPHNIIDAE,Arthropoda,Malacostraca,Cladocera,Daphniidae,,,,,,,,,1995
DASYHELEA,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,,,Collector,6,sp,3.6,,2002
DEMICRYPTOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Demicryptochironomus,Chironominae,Chironomini,Collector,7,bu,2,Addition,2005
DERONECTES,Arthropoda,Insecta,Coleoptera,Dytiscidae,Deronectes,,,Predator,5,sw,5.4,,1995
DEROVATELLUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Derovatellus,,,Predator,5,"sw, dv",5.4,,1995
DIAMESA,Arthropoda,Insecta,Diptera,Chironomidae,Diamesa,Diamesinae,Diamesini,Collector,7,sp,8.5,,1995
DIAMESINAE,Arthropoda,Insecta,Diptera,Chironomidae,,Diamesinae,Diamesini,Collector,7,,7.1,,1995
DIBUSA,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Dibusa,,,Predator,,cn,,"Added Sept 2009 by  MTK, addition",2009
DICRANOMYIA,Arthropoda,Insecta,Diptera,Tipulidae,Dicranomyia,,,,4,"bu, sp",3,split from Limonia,2024
DICRANOTA,Arthropoda,Insecta,Diptera,Tipulidae,Dicranota,,,Predator,4,"sp, bu",1.1,,1995
DICROTENDIPES,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,Chironominae,Chironomini,Collector,7,bu,9,,1995
DIDYMOPS,Arthropoda,Insecta,Odonata,Macromiidae,Didymops,,,Predator,,sp,,,2024
DINEUTUS,Arthropoda,Insecta,Coleoptera,Gyrinidae,Dineutus,,,Predator,4,"sw, dv",4,,1995
DIPHETOR,Arthropoda,Insecta,Ephemeroptera,Baetidae,Diphetor,,,Collector,5,"sw, cn",2.3,,1995
DIPLECTRONA,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Diplectrona,,,Filterer,5,cn,2.7,,1995
DIPLOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Diplocladius,Orthocladiinae,,Collector,7,sp,5.9,,1995
DIPLOPERLA,Arthropoda,Insecta,Plecoptera,Perlodidae,Diploperla,Diploperlini,Diploperlini,Predator,2,cn,2.2,,1995
DIPSEUDOPSIDAE,Arthropoda,Insecta,Trichoptera,Dipseudopsidae,,,,,5,,5,,1995
DIPTERA,Arthropoda,Insecta,Diptera,,,,,,,,6,,1995
DIXA,Arthropoda,Insecta,Diptera,Dixidae,Dixa,,,Predator,4,"sw, cb",5.8,,1995
DIXELLA,Arthropoda,Insecta,Diptera,Dixidae,Dixella,,,Collector,4,,5.8,,2002
DIXIDAE,Arthropoda,Insecta,Diptera,Dixidae,,,,,4,,5.8,,2002
DOITHRIX,Arthropoda,Insecta,Diptera,Chironomidae,Doithrix,Orthocladiinae,,,7,,,,2022
DOLICHOPEZA,Arthropoda,Insecta,Diptera,Tipulidae,Dolichopeza,,,Shredder,4,bu,,,2023
DOLICHOPODIDAE,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,Predator,4,"sp, bu",7.5,,1997
DOLOPHILODES,Arthropoda,Insecta,Trichoptera,Philopotamidae,Dolophilodes,,,Filterer,3,cn,1.7,,1995
DROMOGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Dromogomphus,,,Predator,5,bu,2.2,,1995
DRUNELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Drunella,,,Scraper,2,"cn, sp",1.9,,1995
DRYOPIDAE,Arthropoda,Insecta,Coleoptera,Dryopidae,,,,,5,,5,,1995
DUBIRAPHIA,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,,,Scraper,5,"cn, cb",5.7,,1995
DUGESIIDAE,Platyhelminthes,Turbellaria,Tricladida,Dugesiidae,,,,,,,,"Added 6 Nov 07 DB; no ecological data, split from Planaridae",2007
DYTISCIDAE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,Predator,5,"sw, dv",5.4,,1995
DYTISCUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscus,,,Predator,5,"sw, dv",5,,2011
ECCOPTURA,Arthropoda,Insecta,Plecoptera,Perlidae,Eccoptura,Acroneuriini,Acroneuriini,Predator,2,cn,0.6,,1995
ECTOPRIA,Arthropoda,Insecta,Coleoptera,Psephenidae,Ectopria,,,Scraper,4,cn,2.2,,1995
EINFELDIA,Arthropoda,Insecta,Diptera,Chironomidae,Einfeldia,Chironominae,Chironomini,Collector,7,,6.6,,2000
ELLIPTEROIDES,Arthropoda,Insecta,Diptera,Tipulidae,Ellipteroides,,,Collector,4,bu,,,2024
ELMIDAE,Arthropoda,Insecta,Coleoptera,Elmidae,,,,Collector,5,cn,4.8,,1995
ELOEOPHILA,Arthropoda,Insecta,Diptera,Limoniidae,Eloeophila,,,Predator,,bu,,,2023
EMPIDIDAE,Arthropoda,Insecta,Diptera,Empididae,,,,Predator,6,"sp, bu",7.5,,1995
ENALLAGMA,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,,,Predator,8,cb,9,,1995
ENCHYTRAEIDAE,Annelida,Oligochaeta,Haplotaxida,Enchytraeidae,,,,Collector,10,bu,9.1,,1995
ENDOCHIRONOMUS,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus,Chironominae,Chironomini,Shredder,7,cn,6.2,,1995
ENDOTRIBELOS,Arthropoda,Insecta,Diptera,Chironomidae,Endotribelos,,Chironomini,Collector,7,"bu, cn",6,"Added Oct 2014 by MTK, addition",2014
ENOCHRUS,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,,Collector,5,"bu, sp",4.1,,1997
ENTOMOBRYIDAE,Arthropoda,Collembola,Collembola,Entomobryidae,,,,Collector,,,,,2024
EPEORUS,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,,,Scraper,3,cn,1.7,,1995
EPHEMERA,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,,,Collector,4,bu,3,,1995
EPHEMERELLA,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,,,Collector,2,"cn, sw",2.3,,1995
EPHEMERELLIDAE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,,,2,"cn, sp, sw",2.6,,1995
EPHEMERIDAE,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,,,,4,,,,2008
EPHEMEROPTERA,Arthropoda,Insecta,Ephemeroptera,,,,,Collector,,,2.9,,1995
EPHYDRIDAE,Arthropoda,Insecta,Diptera,Ephydridae,,,,Collector,7,"bu, sp",,,2000
EPIAESCHNA,Arthropoda,Insecta,Odonata,Aeshnidae,Epiaeschna,,,Predator,3,"cb, cn",3,"Added 7 Oct 2008 MTK, addition",2008
